"Carimbo de data/hora","Em qual instituição você está fazendo pós graduação?","Se você estuda na UFPR, em qual setor você está inserido?  ","Qual sua atividade atual na sua universidade (relacionada à presença nesta disciplina)?","Em qual grande área do conhecimento sua pesquisa está inserida hoje?","Em qual ano você concluiu sua graduação?","Em qual instituição você concluiu sua graduação? (Responda com a sigla da instituição)","De quais programas de graduação você participou?","Se você já concluiu o mestrado, qual o ano de início do mestrado?","Qual o ano de conclusão do seu mestrado?","Em qual instituição você fez seu mestrado?","Quantos artigos (com qualis) você já publicou?","Você é bolsista remunerado de algum programa? Qual?","Quantas disciplinas de Estatística você cursou na graduação?","Quantas disciplinas de Estatística você cursou na pós-graduação (mestrado + doutorado)? ","Já utilizou algum software com funcionalidades estatísticas?","Qual(is) software(s) com funcionalidades estatísticas você usa ou já usou?","Você vai utilizar métodos estatísticos na sua Pós-Graduação/Pesquisa?","Qual a importância que você atribui à Estatística no seu trabalho de Pós-Graduação/Pesquisa? ","Se você está fazendo Pós-Graduação, qual a sua principal expectativa após a conclusão?","Como tomou conhecimento da Disciplina Transversal?","Após se matricular no SIGA, você assistiu alguma aula do ano anterior da Disciplina no YouTube? ","Tem/teve contato ou conhecimento sobre os professores coordenadores da disciplina?","Tem/teve contato ou conhecimento sobre o(s) prof(s). colaboradores da disciplina?","Você cursou o ensino médio em escola pública ou particular?","Você cursou ensino médio tradicional ou profissionalizante?","Qual o seu sexo?","Qual a sua altura?","Qual o seu peso?","Qual a data do seu nascimento?","Qual das seguintes categorias descreve melhor sua situação de emprego?","Com quem você mora?","Quantos irmãos você tem?","Qual a sua origem?","Qual seu meio de transporte predominante que utilizava ou utilizaria para Universidade em atividades presenciais?","Em média, quanto tempo você demorava ou demoraria para chegar a Universidade?","Em média, quantas vezes você usa táxi/aplicativo de transporte durante o mês?","Possui animal de estimação?","Toca algum instrumento musical?","De quais redes sociais você participa?","Você pratica atividade física regularmente?","Quantas vezes por semana você se exercita?","Qual atividade você pratica?","Quantos anos você acha que a pessoa da foto abaixo tem?","Observe as figuras abaixo. Uma delas se chama ""Bouba"" e a outra ""Kiki"". Quem é quem?",
"21/03/2022 11:03:36","UFPR","ET - Exatas","Pós-Doutorado","Ciências Exatas",2010,"UTFPR","Iniciação científica",2014,2015,"UFPR",8,"Não",1,0,"Sim","R, Matlab","Certamente sim",10,"Conseguir um emprego.","Site da UFPR ou instituição de origem","Sim","Sim","Sim","Totalmente em escola pública","Ensino médio tradicional","Masculino",183,92,"21/08/1986","Desempregado","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",2,"Curitiba","Carro/moto próprio",25,0,"Cachorro","Não toco nenhum instrumento","Facebook, Instagram, Linkedin","Sim",6,"Caminhada, Corrida, Ciclismo, Musculação",23,"A da esquerda se chama Kiki, a da direita se chama Bouba.",29
"21/03/2022 11:04:36","UFPR","SD - Saúde","Mestrado Acadêmico","Ciências Humanas",2020,"UFU","Projeto de extensão",,,,1,"CAPES",1,0,"Não","Nunca usei","Certamente sim",10,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Feminino",166,68,"02/06/1997","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",0,"Outro Estado","Transporte público",30,0,"Não possuo","Não toco nenhum instrumento","Instagram, Linkedin","Não",0,"Nenhuma",34,"A da esquerda se chama Kiki, a da direita se chama Bouba.",31
"21/03/2022 11:06:00","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2019,"UFPR ","Iniciação científica, Monitoria, Projeto de extensão",,,,3,"Não",1,0,"Sim","Nunca usei","Certamente sim",8,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Por ex-alunos da Disciplina","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",186,66,"01/03/1998","Trabalho ocasional","Sozinho",0,"Interior do Paraná","Carona com amigos",20,10,"Gato","Não toco nenhum instrumento","Instagram","Não",0,"Nenhuma",26,"A da esquerda se chama Kiki, a da direita se chama Bouba.",40
"21/03/2022 11:06:45","UFPR","SA - Sociais Aplicadas","Mestrado Profissional","Ciências Humanas",2011,"University of West Florida","Não participei",,,,0,"Não",2,0,"Sim","R, Excel ou similares","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Por colegas","Não","Não","Não","Totalmente em escola particular","Ensino médio tradicional","Masculino",183,99,"07/02/1988","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Interior do Paraná","Carro/moto próprio",10,24,"Não possuo","Não toco nenhum instrumento","Nenhuma","Não",1,"tênis",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",28
"21/03/2022 11:07:43","Sou docente na UNILA",,"Professor","Ciências Exatas",2002,"UFRJ","Iniciação científica",2002,2004,"UFRJ",40,"Não",1,2,"Sim","Statistica, Excel ou similares","Certamente sim",10,"nao estou fazendo","Divulgação na UNILA","Não","Não","Não","Totalmente em escola particular","Ensino médio profissionalizante (técnico)","Feminino",165,65,"29/12/1976","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",3,"Outro Estado","Carro/moto próprio",20,0,"Gato","Não toco nenhum instrumento","Nenhuma","Sim",5,"Caminhada, Corrida, Crossfit",26,"A da esquerda se chama Kiki, a da direita se chama Bouba.",32
"21/03/2022 11:09:26","Fiocruz",,"Mestrado Acadêmico","Ciências Biológicas",2021,"UPF","Projeto de extensão",,,,0,"CAPES",1,0,"Sim","R","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelos professores que ministram/ministraram disciplinas da Transversal","Não","Não","Sim","Totalmente em escola pública","Ensino médio tradicional","Masculino",187,80,"08/12/1997","Bolsista em tempo integral","Com os pais",0,"Outro Estado","Transporte público",60,0,"Cachorro","Piano","Instagram, Linkedin","Sim",5,"Musculação",30,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
"21/03/2022 11:10:16","UTFPR",,"Mestrado Acadêmico","Ciências Biológicas",2021,"UNIASSELVI","Monitoria",,2023,,0,"Não",0,0,"Não","Nunca usei","Certamente sim",9,"Continuar com a pesquisa e avançar para o próximo curso. Seguir os estudos.","Pelo(a)  orientador(a)","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",166,69,"09/09/1997","Trabalho com carteira assinada/Vínculo Formal","Sozinho",3,"Curitiba","Carro/moto próprio",40,6,"Não possuo","Não toco nenhum instrumento","Instagram","Sim",4,"Caminhada, Corrida, Vôlei",29,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
"21/03/2022 11:12:01","UTFPR",,"Doutorado Profissional","Ciências Humanas",2016,"UFJF","Iniciação científica",2017,2019,"UFJF",4,"Não",1,0,"Sim","SPSS, Excel ou similares","Certamente sim",7,"Aumento salarial e oportunidades mais promissoras.","Pelo(a)  orientador(a)","Não","Não","Sim","Totalmente em escola pública","Ensino médio tradicional","Masculino",181,75,"07/04/1986","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",1,"Outro Estado","Carro/moto próprio",60,4,"Peixe","Não toco nenhum instrumento","Linkedin","Sim",4,"Ciclismo",25,"A da esquerda se chama Kiki, a da direita se chama Bouba.",28
"21/03/2022 11:12:13","UFPR","AG - Agrárias","Doutorado","Ciências Biológicas",2008,"UFMT","Não participei",2018,2021,"ISCAP- Porto-Portugal",1,"Não",1,0,"Não","Nunca usei","Certamente sim",10,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio profissionalizante (técnico)","Masculino",184,114,"21/03/2022","Trabalho com carteira assinada/Vínculo Formal","Com o namorado(a)/noivo(a)/cônjuge/núcleo familiar próprio",3,"Outro Estado","Carro/moto próprio",20,0,"Cachorro","Não toco nenhum instrumento","Instagram","Sim",4,"Musculação",28,"A da esquerda se chama Bouba, a da direita se chama Kiki.",27
"21/03/2022 11:13:33","UFPR","AG - Agrárias","Mestrado Acadêmico","Ciências Biológicas",2021,"UFPel","Iniciação científica, Projeto de extensão",,,,3,"CAPES",1,0,"Não","Nunca usei","Não sei ainda",9,"Aumento salarial e oportunidades mais promissoras.","Site da UFPR ou instituição de origem","Não","Não","Não","Totalmente em escola pública","Ensino médio tradicional","Masculino",181,67,"01/03/1997","Bolsista em tempo integral","Pensão, quarto alugado ou algo similar",2,"Outro Estado","A pé",1,0,"Gato","Não toco nenhum instrumento","Facebook, Instagram","Sim",5,"Caminhada, Corrida, Musculação",25,"A da esquerda se chama Bouba, a da direita se chama Kiki.",40
